tokens,standard_kv_cache_mb,catalyst_world_vector_mb,catalyst_rain_header_mb,world_vector_reduction_x,rain_header_reduction_x,assumption
1000,655.36,0.016384,0.001768,40000.0,370678.73,"40 layers, hidden size 4096, FP16 K+V tensors"
5000,3276.8,0.016384,0.001768,200000.0,1853393.67,"40 layers, hidden size 4096, FP16 K+V tensors"
10000,6553.6,0.016384,0.001768,400000.0,3706787.33,"40 layers, hidden size 4096, FP16 K+V tensors"
50000,32768.0,0.016384,0.001768,2000000.0,18533936.65,"40 layers, hidden size 4096, FP16 K+V tensors"
128000,83886.08,0.016384,0.001768,5120000.0,47446877.83,"40 layers, hidden size 4096, FP16 K+V tensors"
